File name,Date,category_name,category_value
20240412,2024-04-12,Médicaments délivrables sous ordonnance,11
20240405,2024-04-05,Médicaments délivrables sous ordonnance,11
20240428,2024-04-28,Médicaments délivrables sous ordonnance,11
20240415,2024-04-15,Médicaments délivrables sous ordonnance,11
20240330,2024-03-30,Médicaments délivrables sous ordonnance,11
20240425,2024-04-25,Opioïdes,19
20240402,2024-04-02,Opioïdes,19
20240412,2024-04-12,Opioïdes,19
20240424,2024-04-24,Opioïdes,19
20240404,2024-04-04,Opioïdes,19
20240407,2024-04-07,Opioïdes,19
20240328,2024-03-28,Opioïdes,19
20240403,2024-04-03,Opioïdes,19
20240409,2024-04-09,Opioïdes,19
20240406,2024-04-06,Opioïdes,19
20240419,2024-04-19,Opioïdes,19
20240417,2024-04-17,Opioïdes,19
20240408,2024-04-08,Opioïdes,19
20240422,2024-04-22,Opioïdes,19
20240418,2024-04-18,Opioïdes,19
20240410,2024-04-10,Opioïdes,19
20240405,2024-04-05,Opioïdes,19
20240416,2024-04-16,Opioïdes,19
20240411,2024-04-11,Opioïdes,19
20240406,2024-04-06,Opioïdes,19
20240422,2024-04-22,Opioïdes,19
20240421,2024-04-21,Opioïdes,19
20240329,2024-03-29,Opioïdes,19
20240407,2024-04-07,Opioïdes,19
20240408,2024-04-08,Opioïdes,19
20240414,2024-04-14,Opioïdes,19
20240413,2024-04-13,Opioïdes,19
20240427,2024-04-27,Opioïdes,19
20240423,2024-04-23,Opioïdes,19
20240420,2024-04-20,Opioïdes,19
20240331,2024-03-31,Opioïdes,19
20240327,2024-03-27,Opioïdes,19
20240424,2024-04-24,Opioïdes,19
20240401,2024-04-01,Opioïdes,19
20240412,2024-04-12,Opioïdes,19
20240405,2024-04-05,Opioïdes,19
20240428,2024-04-28,Opioïdes,19
20240415,2024-04-15,Opioïdes,19
20240330,2024-03-30,Opioïdes,19
20240425,2024-04-25,Perte de poids,0
20240402,2024-04-02,Perte de poids,0
20240412,2024-04-12,Perte de poids,0
20240424,2024-04-24,Perte de poids,0
20240404,2024-04-04,Perte de poids,0
20240407,2024-04-07,Perte de poids,0
20240328,2024-03-28,Perte de poids,0
20240403,2024-04-03,Perte de poids,0
20240409,2024-04-09,Perte de poids,0
20240406,2024-04-06,Perte de poids,0
20240419,2024-04-19,Perte de poids,0
20240417,2024-04-17,Perte de poids,0
20240408,2024-04-08,Perte de poids,0
20240422,2024-04-22,Perte de poids,0
20240418,2024-04-18,Perte de poids,0
20240410,2024-04-10,Perte de poids,0
20240405,2024-04-05,Perte de poids,0
20240416,2024-04-16,Perte de poids,0
20240411,2024-04-11,Perte de poids,0
20240406,2024-04-06,Perte de poids,0
20240422,2024-04-22,Perte de poids,0
20240421,2024-04-21,Perte de poids,0
20240329,2024-03-29,Perte de poids,0
20240407,2024-04-07,Perte de poids,0
20240408,2024-04-08,Perte de poids,0
20240414,2024-04-14,Perte de poids,0
20240413,2024-04-13,Perte de poids,0
20240427,2024-04-27,Perte de poids,0
20240423,2024-04-23,Perte de poids,0
20240420,2024-04-20,Perte de poids,0
20240331,2024-03-31,Perte de poids,0
20240327,2024-03-27,Perte de poids,0
20240424,2024-04-24,Perte de poids,0
20240401,2024-04-01,Perte de poids,0
20240412,2024-04-12,Perte de poids,0
20240405,2024-04-05,Perte de poids,0
20240428,2024-04-28,Perte de poids,0
20240415,2024-04-15,Perte de poids,0
20240330,2024-03-30,Perte de poids,0
20240425,2024-04-25,Psychédéliques,33
20240402,2024-04-02,Psychédéliques,33
20240412,2024-04-12,Psychédéliques,33
20240424,2024-04-24,Psychédéliques,33
20240404,2024-04-04,Psychédéliques,33
20240407,2024-04-07,Psychédéliques,33
20240328,2024-03-28,Psychédéliques,33
20240403,2024-04-03,Psychédéliques,33
20240409,2024-04-09,Psychédéliques,33
20240406,2024-04-06,Psychédéliques,33
20240419,2024-04-19,Psychédéliques,33
20240417,2024-04-17,Psychédéliques,33
20240408,2024-04-08,Psychédéliques,33
20240422,2024-04-22,Psychédéliques,33
20240418,2024-04-18,Psychédéliques,33
20240410,2024-04-10,Psychédéliques,33
20240405,2024-04-05,Psychédéliques,33
20240416,2024-04-16,Psychédéliques,33
20240411,2024-04-11,Psychédéliques,33
20240406,2024-04-06,Psychédéliques,33
20240422,2024-04-22,Psychédéliques,33
20240421,2024-04-21,Psychédéliques,33
20240329,2024-03-29,Psychédéliques,33
20240407,2024-04-07,Psychédéliques,33
20240408,2024-04-08,Psychédéliques,33
20240414,2024-04-14,Psychédéliques,33
20240413,2024-04-13,Psychédéliques,33
20240427,2024-04-27,Psychédéliques,33
20240423,2024-04-23,Psychédéliques,33
20240420,2024-04-20,Psychédéliques,33
20240331,2024-03-31,Psychédéliques,33
20240327,2024-03-27,Psychédéliques,33
20240424,2024-04-24,Psychédéliques,33
20240401,2024-04-01,Psychédéliques,33
20240412,2024-04-12,Psychédéliques,33
20240405,2024-04-05,Psychédéliques,33
20240428,2024-04-28,Psychédéliques,33
20240415,2024-04-15,Psychédéliques,33
20240330,2024-03-30,Psychédéliques,33
20240425,2024-04-25,Stéroïdes,0
20240402,2024-04-02,Stéroïdes,0
20240412,2024-04-12,Stéroïdes,0
20240424,2024-04-24,Stéroïdes,0
20240404,2024-04-04,Stéroïdes,0
20240407,2024-04-07,Stéroïdes,0
20240328,2024-03-28,Stéroïdes,0
20240403,2024-04-03,Stéroïdes,0
20240409,2024-04-09,Stéroïdes,0
20240406,2024-04-06,Stéroïdes,0
20240419,2024-04-19,Stéroïdes,0
20240417,2024-04-17,Stéroïdes,0
20240408,2024-04-08,Stéroïdes,0
20240422,2024-04-22,Stéroïdes,0
20240418,2024-04-18,Stéroïdes,0
20240410,2024-04-10,Stéroïdes,0
20240405,2024-04-05,Stéroïdes,0
20240416,2024-04-16,Stéroïdes,0
20240411,2024-04-11,Stéroïdes,0
